021.67362917	+19.24037778	 5.50	 92444	  8763	94   PSC
021.71488333	-13.05653056	 5.50	147812	  8829	47   CET
021.91398750	+45.40673333	 4.83	 37228	  8799	OMG  AND
022.09142500	-43.31823889	 3.41	215516	  9053	GAM  PHE
022.40055833	-21.62933611	 5.12	167086	  9132	48   CET
022.80731667	+70.26460000	 5.81	  4422	  9021	38   CAS
022.81300000	-49.07271389	 3.95	215536	  9362
022.87088750	+15.34578056	 3.62	 92484	  9270	ETA  PSC
023.41313333	-78.50478056	 6.11	255794	 10042
024.19934167	+41.40545556	 4.09	 37362	  9826	UPS  AND
024.27468333	+12.14159167	 5.57	 92536	  9919	PI   PSC
024.36662500	-84.76960556	 5.69	258273	 11025
024.42855000	-57.23671667	 0.46	232481	 10144	ALP  ERI 	ACHERNAR
024.49817083	+48.62820833	 3.57	 37375	  9927	51   AND
024.62875417	+73.04002778	 5.28	  4453	  9774	40   CAS
025.35790417	 +5.48758056	 4.44	110065	 10380	NU   PSC
025.51245000	-36.83238611	 5.72	193261	 10538
025.51454583	+35.24565833	 5.64	 54912	 10390
025.53581667	-32.32694167	 5.26	193263	 10537	PI   SCL
025.58549167	+68.04303611	 5.59	 11919	 10221	43   CAS
025.68132500	 -3.69019722	 4.99	129465	 10550
025.91516250	+50.68874444	 4.07	 22554	 10516	PHI  PER
026.01704583	-15.93746944	 3.50	147986	 10700	TAU  CET
026.34845417	 +9.15771944	 4.26	110110	 10761	OMI  PSC
026.41159167	-25.05258889	 5.31	167275	 10830	EPS  SCL
027.04552917	+16.95552778	 5.86	 92637	 10982	4    ARI
027.39627500	-10.68641389	 4.67	148036	 11171	CHI  CET
027.86516667	-10.33505556	 3.73	148059	 11353	ZET  CET 	BATEN KAITOS
028.03898333	+50.79283611	 5.79	 22696	 11291	2    PER
028.27043750	+29.57883889	 3.41	 74996	 11443	ALP  TRI
028.38894167	 +3.18749444	 4.62	110206	 11559	XI   PSC
028.41148750	-46.30261667	 4.41	215696	 11695	PSI  PHE
028.59186667	-42.49701111	 5.11	215697	 11753
028.59879583	+63.67007778	 3.38	 12031	 11415	EPS  CAS
028.66000417	+20.80800556	 2.64	 75012	 11636	BET  ARI 	SHERATAN
028.73381667	-67.64726667	 4.69	248460	 11977	ETA2 HYI
028.98953333	-51.60888611	 3.70	232573	 11937	CHI  ERI
029.69250417	-61.56984167	 2.86	248474	 12311	ALP  HYI
030.00128333	-21.07783611	 4.00	167471	 12274	UPS  CET
030.57544167	+54.48756944	 5.04	 22859	 12303	4    PER
030.85870000	+72.42130278	 3.98	  4560	 12216	50   CAS
